,team_name,Section,Year,medal_awarded,award,wiki_link
0,Aachen,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Aachen
1,Aalto-Helsinki,Overgrad,2018,Gold,"Nominated for Best Product Design, Overgrad",http://2018.igem.org/Team:Aalto-Helsinki
2,Aix-Marseille,Overgrad,2018,Gold,,http://2018.igem.org/Team:Aix-Marseille
3,ASTWS-China,High_school,2018,Gold,,http://2018.igem.org/Team:ASTWS-China
4,BGU_Israel,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:BGU_Israel
5,Bielefeld-CeBiTec,Overgrad,2018,Gold,,http://2018.igem.org/Team:Bielefeld-CeBiTec
6,BIT,Undergrad,2018,Gold,,http://2018.igem.org/Team:BIT
7,BIT-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:BIT-China
8,BJRS_China,High_school,2018,Gold,,http://2018.igem.org/Team:BJRS_China
9,BostonU_HW,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:BostonU_HW
10,BostonU_HW,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:BostonU_HW
11,Calgary,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:Calgary
12,Cardiff_Wales,Undergrad,2018,Gold,Best Plant Synthetic Biology,http://2018.igem.org/Team:Cardiff_Wales
13,CCU_Taiwan,Undergrad,2018,Gold,Nominated for Best New Application Project,http://2018.igem.org/Team:CCU_Taiwan
14,CCU_Taiwan,Undergrad,2018,Gold,Nominated for Best Product Design,http://2018.igem.org/Team:CCU_Taiwan
15,Chalmers-Gothenburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Chalmers-Gothenburg
16,CPU_CHINA,Undergrad,2018,Gold,,http://2018.igem.org/Team:CPU_CHINA
17,Duesseldorf,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Duesseldorf
18,ECUST,Undergrad,2018,Gold,,http://2018.igem.org/Team:ECUST
19,Edinburgh_OG,Overgrad,2018,Gold,,http://2018.igem.org/Team:Edinburgh_OG
20,Edinburgh_UG,Undergrad,2018,Gold,Nominated for Best Foundational Advance Project,http://2018.igem.org/Team:Edinburgh_UG
21,EPFL,Overgrad,2018,Gold,"Nominated for Best Therapeutics Project, Overgrad",http://2018.igem.org/Team:EPFL
22,EPFL,Overgrad,2018,Gold,"Nominated for Best Software Tool, Overgrad",http://2018.igem.org/Team:EPFL
23,ETH_Zurich,Overgrad,2018,Gold,"Nominated for Best New Application Project, Overgrad",http://2018.igem.org/Team:ETH_Zurich
24,ETH_Zurich,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:ETH_Zurich
25,ETH_Zurich,Overgrad,2018,Gold,"Nominated for Best Product Design, Overgrad",http://2018.igem.org/Team:ETH_Zurich
26,ETH_Zurich,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:ETH_Zurich
27,Evry_Paris-Saclay,Overgrad,2018,Gold,"Nominated for Best New Composite Part, Overgrad",http://2018.igem.org/Team:Evry_Paris-Saclay
28,Exeter,Undergrad,2018,Gold,,http://2018.igem.org/Team:Exeter
29,FJNU-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:FJNU-China
30,Goettingen,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Goettingen
31,GO_Paris-Saclay,Overgrad,2018,Gold,,http://2018.igem.org/Team:GO_Paris-Saclay
32,GreatBay_China,High_school,2018,Gold,"Best Wiki, High_school",http://2018.igem.org/Team:GreatBay_China
33,GreatBay_China,High_school,2018,Gold,"Nominated for Best Wiki, High_school",http://2018.igem.org/Team:GreatBay_China
34,GreatBay_China,High_school,2018,Gold,"Nominated for Best Presentation, High_school",http://2018.igem.org/Team:GreatBay_China
35,GreatBay_China,High_school,2018,Gold,"Best Poster, High_school",http://2018.igem.org/Team:GreatBay_China
36,GreatBay_China,High_school,2018,Gold,"Nominated for Best Poster, High_school",http://2018.igem.org/Team:GreatBay_China
37,GreatBay_China,High_school,2018,Gold,"Nominated for Best Integrated Human Practices, High_school",http://2018.igem.org/Team:GreatBay_China
38,GreatBay_China,High_school,2018,Gold,"Nominated for Best Education & Public Engagement, High_school",http://2018.igem.org/Team:GreatBay_China
39,GreatBay_China,High_school,2018,Gold,"Best Model, High_school",http://2018.igem.org/Team:GreatBay_China
40,GreatBay_China,High_school,2018,Gold,"Nominated for Best Model, High_school",http://2018.igem.org/Team:GreatBay_China
41,GreatBay_China,High_school,2018,Gold,"Best Product Design, High_school",http://2018.igem.org/Team:GreatBay_China
42,GreatBay_China,High_school,2018,Gold,"Nominated for Best Product Design, High_school",http://2018.igem.org/Team:GreatBay_China
43,GreatBay_China,High_school,2018,Gold,"Best New Basic Part, High_school",http://2018.igem.org/Team:GreatBay_China
44,GreatBay_China,High_school,2018,Gold,"Nominated for Best New Basic Part, High_school",http://2018.igem.org/Team:GreatBay_China
45,GreatBay_China,High_school,2018,Gold,"Best New Composite Part, High_school",http://2018.igem.org/Team:GreatBay_China
46,GreatBay_China,High_school,2018,Gold,"Nominated for Best New Composite Part, High_school",http://2018.igem.org/Team:GreatBay_China
47,GreatBay_China,High_school,2018,Gold,"Best Part Collection, High_school",http://2018.igem.org/Team:GreatBay_China
48,GreatBay_China,High_school,2018,Gold,"Nominated for Best Part Collection, High_school",http://2018.igem.org/Team:GreatBay_China
49,Groningen,Overgrad,2018,Gold,"Nominated for Best Manufacturing Project, Overgrad",http://2018.igem.org/Team:Groningen
50,Groningen,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:Groningen
51,Groningen,Overgrad,2018,Gold,"Nominated for Best Poster, Overgrad",http://2018.igem.org/Team:Groningen
52,Groningen,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Groningen
53,Groningen,Overgrad,2018,Gold,"Best Measurement, Overgrad",http://2018.igem.org/Team:Groningen
54,Groningen,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:Groningen
55,Hamburg,Overgrad,2018,Gold,,http://2018.igem.org/Team:Hamburg
56,HebrewU,Overgrad,2018,Gold,"Nominated for Best Environment Project, Overgrad",http://2018.igem.org/Team:HebrewU
57,HebrewU,Overgrad,2018,Gold,"Nominated for Best Software Tool, Overgrad",http://2018.igem.org/Team:HebrewU
58,HebrewU,Overgrad,2018,Gold,"Best Plant Synthetic Biology, Overgrad",http://2018.igem.org/Team:HebrewU
59,Hong_Kong-CUHK,Overgrad,2018,Gold,,http://2018.igem.org/Team:Hong_Kong-CUHK
60,Hong_Kong_HKU,Undergrad,2018,Gold,Nominated for Best Part Collection,http://2018.igem.org/Team:Hong_Kong_HKU
61,Hong_Kong_HKUST,Undergrad,2018,Gold,,http://2018.igem.org/Team:Hong_Kong_HKUST
62,HZAU-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:HZAU-China
63,IISc-Bangalore,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:IISc-Bangalore
64,IISER-Kolkata,Undergrad,2018,Gold,,http://2018.igem.org/Team:IISER-Kolkata
65,IIT-Madras,Undergrad,2018,Gold,,http://2018.igem.org/Team:IIT-Madras
66,Imperial_College,Undergrad,2018,Gold,,http://2018.igem.org/Team:Imperial_College
67,Jiangnan,Undergrad,2018,Gold,,http://2018.igem.org/Team:Jiangnan
68,Jilin_China,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:Jilin_China
69,Jilin_China,Undergrad,2018,Gold,Best Part Collection,http://2018.igem.org/Team:Jilin_China
70,Jilin_China,Undergrad,2018,Gold,Nominated for Best Part Collection,http://2018.igem.org/Team:Jilin_China
71,Lambert_GA,High_school,2018,Gold,"Nominated for Best Wiki, High_school",http://2018.igem.org/Team:Lambert_GA
72,Lambert_GA,High_school,2018,Gold,"Best Presentation, High_school",http://2018.igem.org/Team:Lambert_GA
73,Lambert_GA,High_school,2018,Gold,"Nominated for Best Presentation, High_school",http://2018.igem.org/Team:Lambert_GA
74,Lambert_GA,High_school,2018,Gold,"Nominated for Best Poster, High_school",http://2018.igem.org/Team:Lambert_GA
75,Lambert_GA,High_school,2018,Gold,"Best Integrated Human Practices, High_school",http://2018.igem.org/Team:Lambert_GA
76,Lambert_GA,High_school,2018,Gold,"Nominated for Best Integrated Human Practices, High_school",http://2018.igem.org/Team:Lambert_GA
77,Lambert_GA,High_school,2018,Gold,"Nominated for Best Model, High_school",http://2018.igem.org/Team:Lambert_GA
78,Lambert_GA,High_school,2018,Gold,"Best Measurement, High_school",http://2018.igem.org/Team:Lambert_GA
79,Lambert_GA,High_school,2018,Gold,"Nominated for Best Measurement, High_school",http://2018.igem.org/Team:Lambert_GA
80,Lambert_GA,High_school,2018,Gold,"Nominated for Best Product Design, High_school",http://2018.igem.org/Team:Lambert_GA
81,Lambert_GA,High_school,2018,Gold,"Best Hardware, High_school",http://2018.igem.org/Team:Lambert_GA
82,Leiden,Overgrad,2018,Gold,"Best Therapeutics Project, Overgrad",http://2018.igem.org/Team:Leiden
83,Leiden,Overgrad,2018,Gold,"Nominated for Best Therapeutics Project, Overgrad",http://2018.igem.org/Team:Leiden
84,Leiden,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:Leiden
85,Leiden,Overgrad,2018,Gold,"Nominated for Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:Leiden
86,Leiden,Overgrad,2018,Gold,"Best Model, Overgrad",http://2018.igem.org/Team:Leiden
87,Leiden,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Leiden
88,Leiden,Overgrad,2018,Gold,"Nominated for Best Entrepreneurship, Overgrad",http://2018.igem.org/Team:Leiden
89,Leiden,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:Leiden
90,Lethbridge,Overgrad,2018,Gold,,http://2018.igem.org/Team:Lethbridge
91,Lund,Overgrad,2018,Gold,,http://2018.igem.org/Team:Lund
92,LZU-CHINA,Undergrad,2018,Gold,Nominated for Best Therapeutics Project,http://2018.igem.org/Team:LZU-CHINA
93,LZU-CHINA,Undergrad,2018,Gold,Best New Composite Part,http://2018.igem.org/Team:LZU-CHINA
94,LZU-CHINA,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:LZU-CHINA
95,LZU-CHINA,Undergrad,2018,Gold,Nominated for Best Part Collection,http://2018.igem.org/Team:LZU-CHINA
96,Marburg,Overgrad,2018,Gold,"Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:Marburg
97,Marburg,Overgrad,2018,Gold,"Nominated for Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:Marburg
98,Marburg,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:Marburg
99,Marburg,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:Marburg
100,Marburg,Overgrad,2018,Gold,"Best Poster, Overgrad",http://2018.igem.org/Team:Marburg
101,Marburg,Overgrad,2018,Gold,"Nominated for Best Poster, Overgrad",http://2018.igem.org/Team:Marburg
102,Marburg,Overgrad,2018,Gold,"Nominated for Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:Marburg
103,Marburg,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Marburg
104,Marburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Marburg
105,Marburg,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:Marburg
106,Marburg,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Marburg
107,Marburg,Overgrad,2018,Gold,"Nominated for Best New Composite Part, Overgrad",http://2018.igem.org/Team:Marburg
108,Marburg,Overgrad,2018,Gold,"Best Part Collection, Overgrad",http://2018.igem.org/Team:Marburg
109,Marburg,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:Marburg
110,Mingdao,High_school,2018,Gold,"Nominated for Best New Basic Part, High_school",http://2018.igem.org/Team:Mingdao
111,Mingdao,High_school,2018,Gold,"Nominated for Best Part Collection, High_school",http://2018.igem.org/Team:Mingdao
112,Montpellier,Overgrad,2018,Gold,"Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Montpellier
113,Montpellier,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Montpellier
114,Nanjing-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:Nanjing-China
115,NAU-CHINA,Undergrad,2018,Gold,,http://2018.igem.org/Team:NAU-CHINA
116,NCHU_Taichung,Undergrad,2018,Gold,,http://2018.igem.org/Team:NCHU_Taichung
117,NCKU_Tainan,Undergrad,2018,Gold,Best Environment Project,http://2018.igem.org/Team:NCKU_Tainan
118,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Environment Project,http://2018.igem.org/Team:NCKU_Tainan
119,NCKU_Tainan,Undergrad,2018,Gold,Best Presentation,http://2018.igem.org/Team:NCKU_Tainan
120,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Presentation,http://2018.igem.org/Team:NCKU_Tainan
121,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Measurement,http://2018.igem.org/Team:NCKU_Tainan
122,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Product Design,http://2018.igem.org/Team:NCKU_Tainan
123,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:NCKU_Tainan
124,NEFU_China,Undergrad,2018,Gold,Best Information Processing Project,http://2018.igem.org/Team:NEFU_China
125,NEFU_China,Undergrad,2018,Gold,Nominated for Best Information Processing Project,http://2018.igem.org/Team:NEFU_China
126,NEU_China_A,Undergrad,2018,Gold,,http://2018.igem.org/Team:NEU_China_A
127,Newcastle,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:Newcastle
128,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best New Application Project,http://2018.igem.org/Team:NKU_CHINA
129,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best Model,http://2018.igem.org/Team:NKU_CHINA
130,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:NKU_CHINA
131,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:NKU_CHINA
132,Nottingham,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:Nottingham
133,NTHU_Formosa,Overgrad,2018,Gold,"Nominated for Best Diagnostics Project, Overgrad",http://2018.igem.org/Team:NTHU_Formosa
134,NTHU_Formosa,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:NTHU_Formosa
135,NTNU_Trondheim,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:NTNU_Trondheim
136,NTU-Singapore,Overgrad,2018,Gold,"Nominated for Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:NTU-Singapore
137,NTU-Singapore,Overgrad,2018,Gold,"Best New Basic Part, Overgrad",http://2018.igem.org/Team:NTU-Singapore
138,NTU-Singapore,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:NTU-Singapore
139,NUS_Singapore-A,Undergrad,2018,Gold,Nominated for Best Manufacturing Project,http://2018.igem.org/Team:NUS_Singapore-A
140,NUS_Singapore-A,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:NUS_Singapore-A
141,NU_Kazakhstan,Undergrad,2018,Gold,Nominated for Best Environment Project,http://2018.igem.org/Team:NU_Kazakhstan
142,NYMU-Taipei,Undergrad,2018,Gold,Nominated for Best New Application Project,http://2018.igem.org/Team:NYMU-Taipei
143,NYU_Abu_Dhabi,Undergrad,2018,Gold,Nominated for Best Diagnostics Project,http://2018.igem.org/Team:NYU_Abu_Dhabi
144,OUC-China,Undergrad,2018,Gold,Best Foundational Advance Project,http://2018.igem.org/Team:OUC-China
145,OUC-China,Undergrad,2018,Gold,Nominated for Best Foundational Advance Project,http://2018.igem.org/Team:OUC-China
146,OUC-China,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:OUC-China
